	Atrial_cardiomyocytes	Capillary_endothelium	Cardiac_neural_crest_cells_Schwann_progenitor_cells	Endothelium_pericytes_adventitia	Epicardial_cells	Epicardium-derived_cells	Erythrocytes_11	Erythrocytes_6	Fibroblast-like_cardiac_skeleton_connective_tissue	Fibroblast-like_larger_larger_vascular_development	Fibroblast-like_smaller_vascular_development	Immune_cells	Myoz2-enriched_cardiomyocytes	Smooth_muscle_cells_fibroblast-like	Ventricular_cardiomyocytes
X14x21	0.020146357	0.033609517	0.123446025	0.06838906	0.07861013	0.16293772	1.2651718e-11	1.25895405e-11	0.078146964	0.058262836	0.009786601	0.06405448	1.2556399e-11	0.27623847	0.02637184
X14x3	0.06991434	0.049358964	0.09563535	0.05454551	1.5015945e-11	0.04048765	0.01438769	0.018920736	1.501626e-11	1.496859e-11	0.044044882	0.028263707	0.11539005	0.053281814	0.4157693
X14x4	0.093848005	0.117178425	0.082272954	0.04826807	0.01806684	0.026958765	0.029604878	9.627178e-12	0.028426586	0.017259192	9.6796356e-12	0.027102385	0.12365695	0.049231373	0.3381255
X14x5	0.10689203	0.12833694	0.0550626	0.033869997	0.0017279723	9.053387e-12	0.030578796	0.030829273	0.02351858	0.036939744	9.058742e-12	0.022829618	0.20198612	0.06897677	0.25845155
X14x6	0.111706406	0.22926901	0.022835331	0.03341584	0.0012018279	0.041908875	0.019590057	6.6912114e-12	6.733037e-12	0.07099813	6.7332806e-12	0.053195983	0.16266942	0.05389016	0.19931906
X14x7	0.113316424	0.07717557	0.07011277	0.03776598	9.889956e-12	9.888296e-12	0.20909038	0.023345768	0.03446099	9.849389e-12	9.892484e-12	0.020009784	0.12857072	0.050577745	0.23557387
X14x8	0.04411611	0.11958161	0.03490589	0.059272863	9.864575e-12	9.934058e-12	0.12165717	0.24024998	0.034696307	0.014140015	9.933907e-12	0.15558876	0.035920125	0.049366932	0.090504184
X14x9	0.12262004	0.14904636	0.04855212	0.04996636	1.01835e-11	6.989853e-11	0.0994292	0.06446329	0.028961532	1.0112233e-11	0.016635945	0.030669183	0.21792376	0.027582372	0.14414978
X15x10	0.12702383	0.10533902	0.05526326	0.027300244	0.012742509	6.2973667e-12	0.041496817	0.0031449208	0.04142774	0.02316348	0.0062737865	0.03789491	0.23217167	0.055588093	0.23116967
X15x11	0.04724725	0.2019166	9.022508e-12	0.044709757	0.011120922	0.007532842	0.08870796	0.07568826	0.023070952	0.04139027	0.0059552668	0.03894177	0.22048229	0.012727245	0.18050861
X15x12	0.084916554	0.21761043	0.029711155	0.0286149	0.009965261	9.403779e-12	9.3426725e-12	9.3221125e-12	0.016964797	0.008884717	0.028470932	0.03363896	0.21458736	0.0760659	0.25056902
X15x13	0.0040828753	8.917392e-12	8.901589e-12	0.09046563	0.023397608	0.014520195	0.03222159	8.888982e-12	0.03846819	8.923023e-12	0.1099177	8.907413e-12	0.30913523	0.045891043	0.33189988
X15x14	1.5757241e-11	1.5748318e-11	0.059803195	0.043921303	0.018636035	1.5757302e-11	1.5675615e-11	0.035430547	0.09864779	1.5746637e-11	0.035018384	0.0288386	0.33009627	0.0005658835	0.34904206
X15x15	0.011058071	9.654298e-12	0.05825031	0.09439892	0.033349212	0.047811404	0.05515471	9.639927e-12	0.27349126	0.03687515	0.05948781	0.048128117	0.12716953	0.046038054	0.10878749
